ID_Emplacement;Adresse;Code postal;Commune;Code departement
4970;1891 GAL ARCHINARD;29200;BREST;29
4971;4970 DU TINDUFF;29200;BREST;29
4972;1580 ERNEST RENAN;29200;BREST;29
4973;5155 VICTOR HUGO;29200;BREST;29
4974;1660 FONCK;29200;BREST;29
4975;1708 FRANCIS GARNIER;29200;BREST;29
4976;4010 D OUESSANT;29200;BREST;29
4977;1293 DIEUDONNE COSTES;29200;BREST;29
4978;1105 DE CONCARNEAU;29200;BREST;29
4979;4581 ROBERT DOISNEAU;29200;BREST;29
4980;1990 GEORGES MELOU;29200;BREST;29
4981;5260 YVES COLLET;29200;BREST;29
4982;1535 DE L EGLISE;29200;BREST;29
4983;5055 TURENNE;29200;BREST;29
4984;3855 MONGE;29200;BREST;29
4985;755 CAPITAINE ALFRED DREYFUS;29200;BREST;29
4986;5110 DU VERCORS;29200;BREST;29
4987;835 CHARLES BERTHELOT;29200;BREST;29
4988;885 DE CHERBOURG;29200;BREST;29
4989;1405 DU DOURJACQ;29200;BREST;29
4990;5237 WALDECK ROUSSEAU;29200;BREST;29
4991;30 D AIGUILLON;29200;BREST;29
4992;1820 FREGATE LA THETIS;29200;BREST;29
