ID_vente;Date mutation;Valeur fonciere;ID_bien
362;2020-02-21;220000;362
363;2020-02-26;67560;363
364;2020-02-22;39980;364
365;2020-02-19;61700;365
366;2020-02-20;70020;366
367;2020-03-03;226750;367
368;2020-03-03;81860;368
369;2020-03-03;69450;369
370;2020-03-02;33000;370
371;2020-02-21;83000;371
372;2020-02-15;62700;372
373;2020-02-25;44000;373
374;2020-02-15;43000;374
375;2020-03-09;101000;375
376;2020-02-28;77000;376
377;2020-03-06;70200;377
378;2020-03-06;43000;378
379;2020-03-31;47200;379
380;2020-03-14;65000;380
381;2020-04-21;70000;381
382;2020-03-18;46890;382
383;2020-02-26;54090;383
384;2020-04-30;43500;384
385;2020-04-30;77400;385
386;2020-05-05;128490;386
387;2020-04-30;130000;387
388;2020-05-04;87000;388
389;2020-04-24;155000;389
390;2020-04-29;19400;390
391;2020-05-07;51400;391
392;2020-05-12;35000;392
393;2020-04-15;110000;393
394;2020-05-18;64500;394
395;2020-05-15;86000;395
396;2020-05-15;45000;396
397;2020-05-19;87000;397
398;2020-05-12;111300;398
399;2020-05-13;230000;399
400;2020-05-20;67500;400
401;2020-05-27;105000;401
402;2020-05-13;28500;402
403;2020-05-28;27000;403
404;2020-05-26;113000;404
405;2020-04-30;48700;405
406;2020-05-13;29900;406
407;2020-05-07;29500;407
408;2020-05-27;46937;408
409;2020-05-29;55500;409
410;2020-05-14;142500;410
411;2020-05-16;35000;411
412;2020-06-03;32500;412
413;2020-05-26;64050;413
414;2020-05-29;60000;414
415;2020-05-29;45710;415
416;2020-05-29;55500;416
417;2020-05-30;35500;417
418;2020-06-06;20140;418
419;2020-05-26;25650;419
420;2020-05-18;126000;420
421;2020-05-20;61000;421
422;2020-06-11;54000;422
423;2020-06-03;30500;423
424;2020-05-28;80000;424
425;2020-05-20;28350;425
426;2020-06-06;78500;426
427;2020-01-25;57950;427
428;2020-06-16;55000;428
429;2020-05-29;63000;429
430;2020-06-03;62000;430
431;2020-06-10;134300;431
432;2020-06-20;56000;432
433;2020-06-12;130000;433
434;2020-05-28;41000;434
435;2020-06-11;272000;435
436;2020-06-15;117000;436
437;2020-06-15;75000;437
438;2020-06-03;206000;438
439;2020-06-13;83000;439
440;2020-06-26;35000;440
441;2020-06-18;300000;441
442;2020-06-06;33000;442
443;2020-06-26;57500;443
444;2020-06-05;63000;444
445;2020-06-26;25000;445
446;2020-06-10;225500;446
447;2020-06-29;55800;447
448;2020-06-23;135000;448
449;2020-06-11;95000;449
450;2020-06-17;64000;450
451;2020-06-30;135000;451
452;2020-06-30;90000;452
453;2020-01-29;75000;453
454;2020-01-20;41500;454
455;2020-01-16;41080;455
456;2020-01-16;310000;456
457;2020-02-07;159550;457
458;2020-01-22;150000;458
459;2020-02-18;165500;459
460;2020-02-21;67200;460
461;2020-02-12;230000;461
462;2020-02-05;220000;462
463;2020-02-07;53320;463
464;2020-02-10;49000;464
465;2020-02-24;110000;465
466;2020-02-27;238000;466
467;2020-02-24;55000;467
468;2020-02-22;53260;468
469;2020-02-25;120250;469
470;2020-02-18;119390;470
471;2020-02-20;117110;471
472;2020-02-21;85000;472
473;2020-02-28;140150;473
474;2020-03-16;113000;474
475;2020-03-26;26630;475
476;2020-04-02;64000;476
477;2020-03-02;56900;477
478;2020-04-22;114275;478
479;2020-04-03;123000;479
480;2020-04-16;98000;480
481;2020-03-27;43000;481
482;2020-03-04;30250;482
483;2020-04-27;50740;483
484;2020-04-30;146192;484
485;2020-04-27;40000;485
486;2020-05-06;80000;486
487;2020-04-30;65000;487
488;2020-04-22;112000;488
489;2020-05-14;85000;489
490;2020-05-13;47000;490
491;2020-05-14;67340;491
492;2020-05-29;65500;492
493;2020-05-28;125000;493
494;2020-05-26;153240;494
495;2020-05-30;75000;495
496;2020-05-29;23000;496
497;2020-05-28;107871;497
498;2020-06-04;33000;498
499;2020-05-30;187000;499
500;2020-05-11;51300;500
501;2020-05-28;45500;501
502;2020-05-29;59800;502
503;2020-06-08;75000;503
504;2020-05-16;32000;504
505;2020-05-18;36100;505
506;2020-05-15;50000;506
507;2020-05-18;81200;507
508;2020-05-29;148000;508
509;2020-05-22;46780;509
510;2020-06-10;233400;510
511;2020-05-15;165000;511
512;2020-06-05;55000;512
513;2020-06-06;34500;513
514;2020-06-03;125000;514
515;2020-06-09;144000;515
516;2020-06-19;179000;516
517;2020-06-05;181000;517
518;2020-06-08;278800;518
519;2020-06-05;220000;519
520;2020-06-05;136000;520
521;2020-06-23;30000;521
522;2020-06-08;85000;522
523;2020-05-29;39000;523
524;2020-06-23;19800;524
525;2020-06-26;21000;525
526;2020-06-15;202000;526
527;2020-06-12;44600;527
528;2020-06-15;39000;528
529;2020-06-05;212000;529
530;2020-06-06;152600;530
531;2020-06-06;66500;531
532;2020-06-06;69000;532
533;2020-06-29;76000;533
534;2020-06-15;51500;534
535;2020-06-26;141500;535
536;2020-06-15;153000;536
537;2020-06-24;85700;537
538;2020-06-23;19000;538
539;2020-06-15;190000;539
540;2020-06-22;202100;540
541;2020-06-30;64600;541
542;2020-06-29;90250;542
543;2020-01-03;616900;543
544;2020-01-03;212550;544
545;2020-01-02;229500;545
546;2020-01-13;191500;546
547;2020-01-13;140650;547
548;2020-01-10;228500;548
549;2020-01-15;112070;549
550;2020-01-06;212200;550
551;2020-01-14;195500;551
552;2020-01-10;158525;552
553;2020-01-16;171700;553
554;2020-01-08;340750;554
555;2020-01-09;179000;555
556;2020-01-09;121300;556
557;2020-01-03;317800;557
558;2020-01-10;262089;558
559;2020-01-09;314600;559
560;2020-01-17;767000;560
561;2020-01-17;116260;561
562;2020-01-10;414000;562
563;2020-01-14;413826;563
564;2020-01-20;327500;564
565;2020-01-06;643815;565
566;2020-01-14;652000;566
567;2020-01-20;113700;567
568;2020-01-17;1320000;568
569;2020-01-17;483314;569
570;2020-02-03;178140;570
571;2020-01-20;118110;571
572;2020-01-28;622850;572
573;2020-01-24;137009;573
574;2020-01-24;114500;574
575;2020-01-31;50925;575
576;2020-01-24;1852500;576
577;2020-01-24;233470;577
578;2020-02-07;151500;578
579;2020-01-21;117800;579
580;2020-02-05;1022000;580
581;2020-01-31;200150;581
582;2020-01-24;121900;582
583;2020-02-14;294000;583
584;2020-01-27;301150;584
585;2020-02-06;78500;585
586;2020-01-30;376150;586
587;2020-01-24;199500;587
588;2020-02-05;149870;588
589;2020-02-06;107600;589
590;2020-02-05;228800;590
591;2020-02-06;151592;591
592;2020-02-06;417000;592
593;2020-02-14;130940;593
594;2020-02-13;397400;594
595;2020-02-12;77000;595
596;2020-02-13;291550;596
597;2020-02-12;262580;597
598;2020-01-30;1196000;598
599;2020-02-10;325100;599
600;2020-01-30;148113;600
601;2020-02-04;142000;601
602;2020-02-24;175000;602
603;2020-02-14;194460;603
604;2020-02-17;274102;604
605;2020-01-31;205250;605
606;2020-02-28;149450;606
607;2020-02-25;136500;607
608;2020-02-04;211500;608
609;2020-02-11;43560;609
610;2020-02-14;291230;610
611;2020-02-10;153600;611
612;2020-02-17;409000;612
613;2020-02-06;138500;613
614;2020-02-29;302200;614
615;2020-02-20;234820;615
616;2020-02-21;417145;616
617;2020-02-13;309800;617
618;2020-02-12;1076000;618
619;2020-02-12;135500;619
620;2020-01-15;144400;620
621;2020-01-21;238000;621
622;2020-02-27;120625;622
623;2020-02-17;194030;623
624;2020-02-21;532500;624
625;2020-03-04;357100;625
626;2020-02-19;168782.9;626
627;2020-02-17;297000;627
628;2020-03-16;335300;628
629;2020-02-21;208000;629
630;2020-03-16;245600;630
631;2020-03-09;692000;631
632;2020-03-06;230000;632
633;2020-03-03;145825;633
634;2020-03-06;166850;634
635;2020-02-28;202500;635
636;2020-03-10;377600;636
637;2020-03-05;205370;637
638;2020-03-02;196600;638
639;2020-02-28;302500;639
640;2020-03-05;79900;640
641;2020-03-06;616000;641
642;2020-03-03;1755000;642
643;2020-03-27;122500;643
644;2020-03-16;299250;644
645;2020-03-06;685500;645
646;2020-03-17;718626;646
647;2020-03-26;251750;647
648;2020-03-31;92500;648
649;2020-03-20;723000;649
650;2020-03-12;78850;650
651;2020-03-23;72500;651
652;2020-04-02;244370;652
653;2020-03-31;798000;653
654;2020-04-09;308000;654
655;2020-04-07;152500;655
656;2020-04-20;383450;656
657;2020-04-23;525000;657
658;2020-04-15;455240;658
659;2020-04-21;123900;659
660;2020-03-26;133000;660
661;2020-02-11;33609;661
662;2020-02-11;67991;662
663;2020-04-16;319000;663
664;2020-04-24;162300;664
665;2020-04-27;610000;665
666;2020-05-06;120560;666
667;2020-04-30;695000;667
668;2020-05-05;378000;668
669;2020-05-05;292500;669
670;2020-04-30;85100;670
671;2020-04-27;165000;671
672;2020-05-15;204700;672
673;2020-05-18;337000;673
674;2020-05-15;121700;674
675;2020-05-14;266000;675
676;2020-04-30;324250;676
677;2020-05-06;190450;677
678;2020-05-11;455000;678
679;2020-05-19;178525;679
680;2020-05-19;201400;680
681;2020-05-04;208500;681
682;2020-03-30;63000;682
683;2020-05-19;88550;683
684;2020-05-19;228000;684
685;2020-05-11;155550;685
686;2020-04-28;146430;686
687;2020-05-20;196100;687
688;2020-05-14;387000;688
689;2020-05-15;185000;689
690;2020-05-25;261250;690
691;2020-05-14;514000;691
692;2020-05-29;148750;692
693;2020-05-26;74000;693
694;2020-05-14;198200;694
695;2020-05-15;935000;695
696;2020-05-28;81300;696
697;2020-05-18;156250;697
698;2020-05-14;74400;698
699;2020-06-04;780000;699
700;2020-06-04;352960;700
701;2020-05-19;287000;701
702;2020-05-20;159200;702
703;2020-05-15;141000;703
704;2020-05-19;279000;704
705;2020-05-25;370545;705
706;2020-05-28;422000;706
707;2020-05-20;193700;707
708;2020-05-20;539280;708
709;2020-05-20;321175;709
710;2020-05-25;809000;710
711;2020-05-28;167500;711
712;2020-05-22;232180;712
713;2020-05-25;212700;713
714;2020-06-04;272600;714
715;2020-06-11;169600;715
716;2020-06-10;102800;716
717;2020-06-09;166500;717
718;2020-05-29;810000;718
719;2020-06-10;294975;719
720;2020-06-03;860000;720
721;2020-06-09;219990;721
722;2020-06-03;215200;722
723;2020-06-12;365580;723
724;2020-06-19;450000;724
725;2020-06-05;675000;725
726;2020-06-11;189400;726
727;2020-06-08;186600;727
728;2020-06-15;148900;728
729;2020-06-05;102700;729
730;2020-06-03;180000;730
731;2020-06-02;119100;731
732;2020-06-09;84112;732
733;2020-06-10;90500;733
734;2020-06-17;346000;734
735;2020-05-29;66000;735
736;2020-06-04;131600;736
737;2020-06-15;230300;737
738;2020-05-19;82000;738
739;2020-06-15;143000;739
740;2020-06-12;210000;740
741;2020-06-08;274000;741
742;2020-06-29;179900;742
743;2020-06-08;214000;743
744;2020-06-16;73000;744
745;2020-06-26;169000;745
746;2020-04-30;254280;746
747;2020-06-02;342000;747
748;2020-06-30;328300;748
749;2020-06-10;203300;749
750;2020-06-16;167960;750
751;2020-06-17;432500;751
752;2020-06-30;970000;752
753;2020-06-19;82500;753
754;2020-06-22;263500;754
755;2020-06-05;138800;755
756;2020-06-12;565000;756
757;2020-06-17;1582542;757
758;2020-06-15;52000;758
759;2020-06-15;155350;759
760;2020-06-26;401470;760
761;2020-06-25;166000;761
762;2020-06-16;285000;762
763;2020-06-30;445100;763
764;2020-06-26;137700;764
765;2020-06-18;147500;765
766;2020-06-11;113300;766
767;2020-06-11;439200;767
768;2020-06-17;277000;768
769;2020-06-25;85500;769
770;2020-01-10;172020;770
771;2020-01-08;415000;771
772;2020-01-08;214700;772
773;2020-01-10;421420;773
774;2020-01-16;635000;774
775;2020-01-10;171600;775
776;2020-01-13;278800;776
777;2020-01-15;183750;777
778;2020-01-17;435000;778
779;2020-01-17;111755;779
780;2020-02-04;124500;780
781;2020-01-23;121000;781
782;2020-01-29;84500;782
783;2020-01-21;407500;783
784;2020-02-11;96300;784
785;2020-01-31;341000;785
786;2020-01-29;115200;786
787;2020-01-31;559900;787
788;2020-02-07;257500;788
789;2020-01-30;50400;789
790;2020-02-11;187440;790
791;2020-02-06;157700;791
792;2020-02-26;129450;792
793;2020-02-14;584000;793
794;2020-02-10;111600;794
795;2020-02-12;92000;795
796;2020-02-10;104000;796
797;2020-02-25;186000;797
798;2020-02-11;244000;798
799;2020-02-26;283500;799
800;2020-02-24;124720;800
801;2020-02-27;192500;801
802;2020-02-13;103000;802
803;2020-03-03;156750;803
804;2020-03-10;120200;804
805;2020-02-28;36000;805
806;2020-02-17;111594;806
807;2020-02-28;611284;807
808;2020-03-03;57000;808
809;2020-02-29;88000;809
810;2020-03-02;173000;810
811;2020-02-21;143730;811
812;2020-03-09;65000;812
813;2020-03-17;308200;813
814;2020-03-04;486200;814
815;2020-02-27;161000;815
816;2020-03-11;207000;816
817;2020-03-11;70000;817
818;2020-03-18;87000;818
819;2020-03-16;353000;819
820;2020-03-12;77020;820
821;2020-03-02;112200;821
822;2020-02-26;327000;822
823;2020-03-16;119550;823
824;2020-03-11;148500;824
825;2020-02-27;485000;825
826;2020-03-31;78000;826
827;2020-03-16;657000;827
828;2020-03-06;187000;828
829;2020-03-26;141000;829
830;2020-03-31;250693;830
831;2020-03-13;355730;831
832;2020-03-16;900000;832
833;2020-03-16;122000;833
834;2020-03-20;404070;834
835;2020-03-23;304015;835
836;2020-03-17;208000;836
837;2020-02-21;480000;837
838;2020-03-27;170500;838
839;2020-04-06;253000;839
840;2020-04-10;289150;840
841;2020-04-09;74300;841
842;2020-04-10;275150;842
843;2020-04-29;230549;843
844;2020-05-12;307500;844
845;2020-04-23;550000;845
846;2020-05-12;148000;846
847;2020-04-22;199990;847
848;2020-05-05;113000;848
849;2020-05-13;209000;849
850;2020-05-07;302000;850
851;2020-05-18;289000;851
852;2020-05-19;188000;852
853;2020-05-19;51500;853
854;2020-05-12;149570;854
855;2020-05-13;202000;855
856;2020-05-25;309000;856
857;2020-05-15;395000;857
858;2020-05-14;94000;858
859;2020-05-25;660000;859
860;2020-05-26;96500;860
861;2020-05-18;136205;861
862;2020-05-18;158000;862
863;2020-05-15;305343.5;863
864;2020-05-20;180740;864
865;2020-05-20;213000;865
866;2020-05-20;144000;866
867;2020-05-20;505000;867
868;2020-05-28;83000;868
869;2020-05-29;563000;869
870;2020-05-19;363000;870
871;2020-05-20;350710;871
872;2020-06-08;394000;872
873;2020-05-28;288000;873
874;2020-05-26;71000;874
875;2020-05-27;138000;875
876;2020-06-05;142400;876
877;2020-05-15;159500;877
878;2020-05-14;89000;878
879;2020-05-28;165000;879
880;2020-06-12;339000;880
881;2020-06-02;350000;881
882;2020-06-04;48600;882
883;2020-05-26;197000;883
884;2020-06-02;114000;884
885;2020-05-18;48000;885
886;2020-05-26;232800;886
887;2020-06-10;219400;887
888;2020-06-10;342500;888
889;2020-06-09;196000;889
890;2020-06-04;119000;890
891;2020-06-02;110000;891
892;2020-06-08;105000;892
893;2020-06-04;130000;893
894;2020-06-15;132480;894
895;2020-05-28;136000;895
896;2020-06-12;314000;896
897;2020-05-25;575000;897
898;2020-05-28;127500;898
899;2020-06-10;133000;899
900;2020-05-27;349200;900
901;2020-06-02;129000;901
902;2020-06-02;123500;902
903;2020-06-15;233000;903
904;2020-06-08;183950;904
905;2020-06-02;464500;905
906;2020-06-05;293000;906
907;2020-06-01;118000;907
908;2020-06-23;102000;908
909;2020-06-12;1100000;909
910;2020-06-17;81000;910
