ID_Emplacement;Adresse;Code_post;Commune;Code_dept
19646;HENRI TOURNIE 3757;82000;MONTAUBAN;82
19647;LES BASTIDES DE GILLAC 0;82500;BEAUMONT DE LOMAGNE;82
19648;DE SAINT JEAN DES VIGNES 2175;82100;CASTELSARRASIN;82
19649;MARCEAU HAMECHER 4911;82000;MONTAUBAN;82
19650;GUSTAVE GARRISSON 3710;82000;MONTAUBAN;82
19651;WINSTON CHURCHILL 8047;82000;MONTAUBAN;82
19652;DES ECUREUILS 44;82410;ST-ETIENNE-DE-TULMONT;82
19653;LAGRAVERE 4210;82000;MONTAUBAN;82
19654;DE LA COMEDIE 2210;82000;MONTAUBAN;82
19655;DES FRERES PONCELET 3190;82000;MONTAUBAN;82
19656;DE LONG 4726;82000;MONTAUBAN;82
19657;GEORGES BRASSENS 3841;82000;MONTAUBAN;82
19658;LARRAMET 135;82700;MONTECH;82
19659;DE LA MARGUE 4952;82000;MONTAUBAN;82
19660;HENRI LAPAUZE 3735;82000;MONTAUBAN;82
19661;DU DOCTEUR LABAT 2570;82000;MONTAUBAN;82
19662;D ELIE 2660;82000;MONTAUBAN;82
19663;DE CHATEAUVIEUX 1910;82000;MONTAUBAN;82
19664;DE BOUTUGUET 180;82290;MONTBETON;82
19665;RONSARD 6992;82000;MONTAUBAN;82
19666;DE LA MARGUE 4952;82000;MONTAUBAN;82
19667;DE TOULOUSE 330;82600;VERDUN-SUR-GARONNE;82
19668;PAUL GAUGUIN 207;82300;CAUSSADE;82
19669;GUSTAVE GARRISSON 3710;82000;MONTAUBAN;82
19670;D ELIE 2660;82000;MONTAUBAN;82
19671;ALSACE LORRAINE 130;82000;MONTAUBAN;82
19672;DE L ABREUVOIR 5;82300;CAUSSADE;82
19673;DES BERDEILHOUNES 20;82600;VERDUN-SUR-GARONNE;82
19674;DES GENEVRIERS 3455;82000;MONTAUBAN;82
19675;DE LA RESISTANCE 6830;82000;MONTAUBAN;82
19676;DU BUOC 70;82140;SAINT ANTONIN NOBLE VAL;82
19677;JOLIOT CURIE 200;82600;VERDUN-SUR-GARONNE;82
